code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region,id,uid,name,abbreviation,display_name,short_display_name,is_active,link,opponent_libelle_acheminement,opponent_latitude,opponent_longitude,team_location,opponent_location,distance,distance_km,sum_distance,team_summary
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,LORIENT,47.7500486947,-3.37823200917,"c(7.23826889465, 43.7119992661)","c(-3.37823200917, 47.7500486947)",937262.265583119,937.262265583119,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,METZ,49.1081133279,6.1955245421,"c(7.23826889465, 43.7119992661)","c(6.1955245421, 49.1081133279)",605306.96700019,605.3069670001901,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,LILLE,50.6317183168,3.04783272312,"c(7.23826889465, 43.7119992661)","c(3.04783272312, 50.6317183168)",831744.6659503311,831.7446659503312,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,LENS,50.4374264148,2.82105851259,"c(7.23826889465, 43.7119992661)","c(2.82105851259, 50.4374264148)",818870.6422943961,818.870642294396,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,CLERMONT FERRAND,45.7856492991,3.11554542903,"c(7.23826889465, 43.7119992661)","c(3.11554542903, 45.7856492991)",398870.19415236905,398.87019415236904,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,STRASBOURG,48.5712679849,7.76752679517,"c(7.23826889465, 43.7119992661)","c(7.76752679517, 48.5712679849)",541859.403279311,541.859403279311,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,LYON,45.7699284397,4.82922464978,"c(7.23826889465, 43.7119992661)","c(4.82922464978, 45.7699284397)",297571.075551036,297.57107555103596,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,PARIS,48.8626304852,2.33629344655,"c(7.23826889465, 43.7119992661)","c(2.33629344655, 48.8626304852)",685156.8555580361,685.1568555580361,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
6088,NICE,6000,NICE,NA,43.7119992661,7.23826889465,88,NA,Nice,Nice,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur,2502,s:600~t:2502,Nice,NICE,Nice,Nice,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,MONACO,43.73,7.42,"c(7.23826889465, 43.7119992661)","c(7.42, 43.73)",14740.842076463,14.740842076462998,11131.136864378534,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/2502.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Nice</span> <br> <span style='font-size: 10px;line-height: 14px;'>11,131  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,NICE,43.7119992661,7.23826889465,"c(4.07827967525, 48.2967099637)","c(7.23826889465, 43.7119992661)",565084.0011676381,565.0840011676381,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
